,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
1583,Zakir Hussain,Narsing Makkala,Mujtaba Ali,Sanjana Singh,Jeeva,Hundal,Suresh Chatwal,"75,00,000",Ravi Chavali,Ravi Chavali,,"4,75,000","23,00,000","15,50,000",Adult,"58,00,000",,,$---,Venkat,R.R. Movie Makers,17-Mar-06,127 min,Ravi Chavali,30,M.S. Parvez,Galtiyaan - The Mistake,"58,00,000"
1584,Sandhya Mridul,,"
",,,,,"5,00,000",Devaki Singh,Luke Kenny,,--,"25,000",--,Drama,"36,000",,,$---,,Kenny Media Production,17-Mar-06,80 min,Devaki Singh,2,Devaki Singh,13th Floor,"36,000"
1585,Gursewak Mann,Anupam Kher,Seema Rahmani,Radha Saluja,Gulshan Grover,Johny Lever,,"3,00,00,000","Dheeraj Mohan,Malvinder Shankar",Girja Shankar,,"35,000","1,50,000","1,15,000",Drama,"2,75,000","Sameer,Babu Singh Mann",Jaidev Kumar,$---,Girja Shankar,Ocean Media International,17-Mar-06,146 min,"Dheeraj Mohan,Malvinder Shankar",15,,Banana Brothers,"2,75,000"
1586,Jimmy Shergill,Shenaz Treasurywala,Kader Khan,Prem Chopra,Satish Kaushik,Shakti Kapoor,Dalip Tahil,"3,50,00,000",Karan Razdan,Karan Razdan,,"4,25,000","19,50,000","14,00,000",Drama,"32,00,000",Shaily Shailendra,Shamir Tandon,"$18,000",P.D. Gupta,Sughand Productions Pvt. Ltd.,17-Mar-06,127 min,Karan Razdan,55,Karan Razdan,Umar,"40,01,000"
1587,Aryan Vaid,Mahima Chaudhary,Payal Rohatgi,Irrfan Khan,Amin Gazi,,,"2,25,00,000",,Om Prakash Makkar,,"4,75,000","22,00,000","15,25,000",Drama,"44,00,000","Nawab Arzoo,Asis Kamal,Khan S.,Ahsan Bharti",Vijay Kapoor,$---,"Piyush Kumar,Pawan Agarwal",Jyoti Arts Productions,10-Mar-06,128 min,,25,,Mr. 100% - The Real Player,"44,00,000"
1588,Milind Gunaji,Sangita Tiwari,Anuj Gill,"
",,,,"45,00,000",Devendra Dua,Devendra Dua,,"50,000","2,00,000","1,50,000",Drama,"6,50,000",Abhi - Raj,Abhijeet - Kuljeet,$---,Devendra Dua,Mukta Products,10-Mar-06,96 min,Prem Chand,3,Devendra Dua,Husn Bewafa,"6,50,000"
1589,Hrishita Bhatt,Vikas Kalantri,Varsha Usgaonkar,Milind Gunaji,Jaya Bhattacharya,Nassar Abdulla,Sikandar Kharbanda,"2,00,00,000","Faisal Saif,Mehmood Ali",Faisal Saif,,"3,25,000","15,00,000","10,75,000",Drama,"27,00,000","Jagdish Anand,S.S. Chauhan,Raju Chand,Ravi Chopra",Ram Shankar,$---,Raju Chand,Chand Films,10-Mar-06,137 min,Faisal Saif,25,"Faisal Saif,Mehmood Ali",Jigyaasa,"27,00,000"
1590,Rajeev Raj,,,,,"
",,"30,00,000",Balbir Raj,Dharam Veer Billa,,--,--,--,Adult,"10,25,000",Kishor Chanchal,Suraj Kumar,$---,Dharam Veer Billa,Dharam Films,03-Mar-06,104 min,Balbir Raj,1,"R. Kumar,Sunny Bhatia",Tera Pati Mera Pyar,"10,25,000"
1591,Mithun Chakraborty,Ram Asra,Suvarna,Shraddha,Pramod Moutho,Arjun,Harish Patel,"1,00,00,000","Mujeeb Khan,Prakash Kapoor",Prakash Kapoor,,--,"50,000",--,,"72,500",Akhtar Romani,"Laxmi Pawan,Hari Arjun",$---,"Joginder Sharma,Krishna Rao",Durga Productions,03-Mar-06,134 min,Mujeeb Khan,2,Mujeeb Khan,Insaaf Ki Jung,"72,500"
1592,Sunny Deol,Ameesha Patel,Neha Dhupia,Mukesh Rishi,Mukesh Tiwari,Murli Sharma,Aashish Chaudhary,"12,50,00,000",Harry Baweja,Harry Baweja,,"70,00,000","3,11,00,000","2,19,00,000",Thriller,"5,98,00,000","Sameer,Karamjeet Kaddon,Nitin Arora,Earl D'Souza","Sukhshinder Shinda,Nitin Arora,Harry Anand","$140,000",Pammi Baweja,Baweja Movies Pvt. Ltd.,03-Mar-06,111 min,Harry Baweja,400,Pathik Vats,Teesri Aankh - The Hidden Camera,"6,60,30,000"
1593,Mithun Chakraborty,Sameer Aftab,Anjana Sukhani,Renuka Shahane,Arjun,Kishori Shahane,,"2,25,00,000",Rohit Nayyar,Rohit Nayyar,,"3,50,000","14,50,000","10,75,000",Love Story,"25,00,000",Anil Pandey,Sandesh Shandilya,$---,Salim Akhtar,Aftab Pictures Pvt. Ltd.,24-Feb-06,126 min,Rohit Nayyar,35,"Nikhil Mishra,Vijay B.L. Karn",Sun Zarra.....,"25,00,000"
1594,Bobby Deol,Ameesha Patel,Arjun Rampal,Achint Kaur,,Beena Banerjee,Asha Sharma,"7,50,00,000",Ashok Roy,Bunty Soorma,,"17,00,000","74,00,000","54,00,000",Love Story,"1,48,00,000",Dev Kohli,Anand Raj Anand,"$640,000","Vijay Taneja,Bunty Soorma,Ali Morani,Karim Morani",Cineyug Films Pvt. Ltd.,24-Feb-06,127 min,Bunty Soorma,140,Javed Siddique,Humko Tumse Pyaar Hai,"4,32,80,000"
1595,Sameer Dharmadhikari,Viraj Kumar,Monica Castelino,Urmila Rao,Rahul Roy,Shakti Kapoor,Shahbaaz Khan,"3,00,00,000",Nawab Arzoo,Raj Sharma,,"3,50,000","16,50,000","11,25,000",Drama,"40,00,000",Nawab Arzoo,Dilip Sen - Sameer Sen,$---,Madhusudan Mehta,Raj Dhairya Entertainment,17-Feb-06,142 min,Nawab Arzoo,45,Nawab Arzoo,Rafta Rafta - The Speed,"40,00,000"
1596,Aryan Vaid,Rati Agnihotri,Megha Chatterjee,Johny Lever,Avtar Gill,"
",,"1,00,00,000",Ajay Kanchan,Ajay Kanchan,,"75,000","3,75,000","2,75,000",Drama,"6,00,000",,Tauseef Akhtar,$---,,Chetanalaya Films,17-Feb-06,120 min,,20,,Aisa Kyon Hota Hai,"6,00,000"
1597,Gulshan Rana,,,,,,,"15,00,000",Suresh Jain,Suresh Jain,,--,--,--,Adult,"14,00,000",Anjan Saagari,Shivam Bagchi,$---,,Om Siddi Vinayak Creations Pvt. Ltd.,10-Feb-06,98 min,Suresh Jain,1,Suresh Jain,Red Light,"14,00,000"
1598,Aman Sagar,,,,,,,"20,00,000",R. Kumar,J. Neelam,,--,--,--,Adult,"16,50,000",,,$---,Navneet Dhawan,Navneet Productions,03-Feb-06,105 min,R. Kumar,1,R. Kumar,Tadapti Jawaani,"16,50,000"
1599,Imran,,,,"
",,,"25,00,000",Bashir Babbar,Kishan Shah,,--,--,--,Adult,"21,00,000",,Sawan Kumar Sawan,$---,Shakuntala Gohil,Kishan Shah Films,10-Feb-06,87 min,Bashir Babbar,3,Bashir Babbar,Bhookh - The Hunger Of Body,"21,00,000"
1600,Jyoti Dev,,,,"
",,,"15,00,000",Tilak Chutani,Tilak Chutani,,--,--,--,Adult,"5,00,000",,Aman,$---,Tilak Chutani,Tilak Raj Films,03-Feb-06,72 min,Tilak Chutani,1,Tilak Chutani,Sardi Mein Garmi,"5,00,000"
1601,Konkona Sen Sharma,Ranvir Shorey,Koel Puri,Saurabh Shukla,Vinay Pathak,Rajat Kapoor,Ash Chandler,"2,00,00,000",Rajat Kapoor,Rajat Kapoor,,"8,50,000","62,00,000","36,00,000",Drama,"1,90,00,000","Saurabh Shukla,Sharat Katariya",Sagar Desai,$---,Sunil Doshi,Handmade Films,10-Feb-06,97 min,Rajat Kapoor,50,Anurag Kashyap,Mixed Doubles,"1,90,00,000"
1602,Mohsin Khan,Meghumi,Rajpal Yadav,Tiku Talsania,Mushtaq Khan,Raju Shrivastava,Tej Sapru,"1,25,00,000",Faiz Saleem,Akram Shaikh,,--,--,--,Comedy,"4,25,000",,Sikander Khan,$---,Akram Shaikh,A.S. Films International,10-Feb-06,146 min,Faiz Saleem,2,Naeem - Ejaz,Love In Japan,"4,25,000"
1603,Manav Sohal,Sanjeevani Gupta,Ajay Parmar,,,Kiran Kumar,,"40,00,000",Pradeep Pandit,Pradeep Pandit,,--,--,--,Drama,"5,00,000","Pradeep Pandit,G.L. Vyas,Abdul Gaffar",N.K. Nandan,$---,Pradeep Pandit,Pradeep Pandit Production,06-Jan-06,124 min,Pradeep Pandit,1,Pradeep Pandit,Ek Pyaar Aisa Bhi,"5,00,000"
1604,Arayan Singh,Sangita Tiwari,Urvashi,Dinesh Hingoo,Abhay Bhargav,,Ravi Sinha,"50,00,000",Prem Kumar Sharma,Ravi Sinha,,"2,00,000","9,00,000","6,50,000",Adult,"25,00,000",Ravi Chopra,"Babu Kishen,S. Paul",$---,"Makhan Singh,Dhiru Bhai,A.K.",Hollywood Bollywood Entertainment,06-Jan-06,115 min,Ravi Sinha,10,Prem Kumar Sharma,Retake,"25,00,000"
1605,Seth Daksh,Jayesh Chawla,Rakesh,Ajay Kaurav,Sangita Tiwari,Sonali Goswami,,"70,00,000",Dhawal Gwaliori,Harish Bhonsle,,--,--,--,Drama,"3,25,000",Deepak,Madhu Bhosle,$---,Vivek Dixit,RRight Step Movies,06-Jan-06,130 min,,4,Dhawal Gwaliori,Ankush - The Command,"3,25,000"
1606,Suman Ranganathan,Perizaad Zorabian,Arvind Thakkar,,,,,"1,25,00,000",Ashish Roy,Bappaditya Bandopadhyay,,"50,000","2,00,000","1,50,000",Drama,"3,50,000",,"Bikram Ghosh,Amar Haldipur",$---,K.D. Singh,Tourbo Infotech & Industries Ltd,06-Jan-06,89 min,,15,Shakti Barthwal,Devaki,"3,50,000"
1607,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,Dhritiman Chatterjee,Kanwaljeet,Shefali Shah,Waheeda Rehman,"2,50,00,000",Aparna Sen,Aparna Sen,,"9,50,000","71,00,000","40,00,000",Drama,"2,45,00,000",,Jyotishka Dasgupta,$---,Bipin Vohra,SPS Arts & Entertainment Ltd.,06-Jan-06,124 min,Aparna Sen,50,Aparna Sen,15 Park Avenue,"2,45,00,000"
1608,Nisha Triloki,Rajendra Thakur,Manpreet Kaur,,,,,"20,00,000",Monish Kaushal,Monish Kaushal,,--,--,--,Drama,"4,75,000","Ashish Keskar,Sarang Ghonge,Monish Kaushal","Ashish Keskar,Divinity Band",$---,"D.R.K.,C.R. Parthasarthi",Harmony Pictures,11-Oct-13,117 min,Monish Kaushal,15,Monish Kaushal,Ek Thee Sanam,"4,75,000"
1609,Arya Babbar,Sayantika,Prasenjit Chatterjee,Rajesh Sharma,,,,"1,50,00,000",Aziz Sejawal,Aziz Sejawal,,"3,00,000","12,75,000","9,00,000",Drama,"18,75,000",Sameer,"Anand - Milind,B. Subhayu",$---,Sanjay Ray,Raj Entertainments - 10,11-Oct-13,129 min,Aziz Sejawal,200,,Paapi - Ek Satya Katha,"18,75,000"
1610,Aseem Ali Khan,Divya Dwivedi,Hazel Croney,Kashmira Shah,Rajesh Shringharpure,,,"1,00,00,000",Jeevnath Jha,Rajendra Shiv,,"55,000","2,35,000","1,75,000",Mystery,"3,25,000",Ravi Chopra,Rajendra Shiv,$---,"Amit Shrivastava,Narendra Singh",FilmyBox Movies,11-Oct-13,120 min,Amit Shrivastava,40,Jeevnath Jha,Kyun Hua Achanak,"3,25,000"
1611,Ali Fazal,Anisa Butt,Gulshan Grover,Amrita Raichand,Razzak Khan,Akshay Singh,,"3,50,00,000","Shuja Ali,Akshay Singh",Shuja Ali,,"3,75,000","17,25,000","12,50,000",Comedy,"24,50,000","Rajiv Pal Singh,A.M. Turaz,Obaid Azam Azmi",Harpreet,$---,"Megha Agarwal,Sayed Asif Jah",ASR Media,11-Oct-13,110 min,Sayed Asif Jah,225,"Shuja Ali,Akshay Singh",Baat Ban Gayi,"24,50,000"
1612,Sharman Joshi,Javed Jaffrey,Soha Ali Khan,Mukul Dev,,Sanjay Mishra,Manoj Pahwa,"17,00,00,000",Faraz Haider,Faraz Haider,,"1,26,00,000","6,01,00,000","4,39,00,000",Comedy,"8,64,00,000","Faraz Haider,Bebaak Amrohvi,Aseem Shirazi",Aslam Keyi,"$9,000",,AOPL Entertainment Pvt. Ltd.,11-Oct-13,120 min,Faraz Haider,750,Deepak Kingrani,War... Chhod Na Yaar,"8,69,44,500"
1613,Dushyant Shukla,,,,,,,"15,00,000",,M. Rajesh,,--,--,--,Horror,"7,25,000",,,$---,"Purushottam R. Bhatt,Pratibha D. Dongre",White Eyes Pictures,27-Sep-13,0 min,,1,,Raat - The Terror,"7,25,000"
1614,Akshay Kumar,Mithun Chakraborty,Danny Denzongpa,Ronit Roy,Shiv Pandit,Aditi Rao Hydari,Parikshat Sahni,"70,00,00,000",Farhad - Sajid,Anthony D'Souza,,"11,70,00,000","41,59,00,000","24,38,00,000",Action,"67,87,00,000","Manoj Yadav,Sahil Kaushal,Kumaar","Meet Bros,P.A. Deepak,Honey Singh,Chirantan Bhatt","$2,780,000",,Viacom 18 Motion Pictures,16-Oct-13,144 min,Farhad - Sajid,2800,Farhad - Sajid,Boss,"84,82,80,000"
1615,Karan Sharma,Ashima Pandey,Hemant Pandey,Anil Ghildiyal,Chandan Bisht,"
",,"25,00,000",Nitin Tiwari,Nitin Tiwari,,"75,000","4,25,000","3,00,000",Drama,"5,75,000",Manoj Darpan,Sudheer - Milind,$---,"Priyanka Chandola,Rama Upreti",Himadri Productions,18-Oct-13,113 min,Nitin Tiwari,10,Nitin Tiwari,Rajula - A Tale From The Himalayas,"5,75,000"
1616,Rajkummar Rao,Prabhleen Sandhu,Mohammed Zeeshan Ayyub,Vipin Sharma,Shalini Vatsa,Kay Kay Menon,Tigmanshu Dhulia,"6,50,00,000","Hansal Mehta,Sameer Gautam Singh,Apurva Asrani",Hansal Mehta,,--,"1,80,50,000",--,Drama,"2,74,00,000",,,"$30,000","Ronnie Screwvala,Anurag Kashyap,Sunil Bohra,Siddharth Roy Kapur",Bohra Bros,18-Oct-13,129 min,Sameer Gautam Singh,375,Sameer Gautam Singh,Shahid,"2,92,30,000"
1617,"


",,,,,,,"20,00,000",,Suresh Jain,,--,--,--,Adult,"16,50,000",,,$---,,Mayura Films,27-Sep-13,102 min,,1,,The Dirty Dancer,"16,50,000"
1618,Tanveer Hashmi,Karishma,,,,"
",,"20,00,000",Lalji Gorakhpuri,Suresh Jain,,--,--,--,Adult,"31,00,000",,Shivam Farhaan,$---,,Mayura Films,30-Dec-05,102 min,Lalji Gorakhpuri,5,Lalji Gorakhpuri,Best Partner,"31,00,000"
1619,Dev Anand,Dev Gill,Tara Sharma,Milind Gunaji,,,,"1,25,00,000",Dev Anand,Dev Anand,,"75,000","3,10,000","2,25,000",Drama,"4,50,000","Darshan Dave,Kukku Prabhas,Imran Ahmad Khan,Dev Anand","Darshan Dave,Bappi Lahiri","$2,000",Dev Anand,Navketan International Films,30-Dec-05,140 min,Dev Anand,45,Dev Anand,Mr. Prime Minister,"5,40,000"
1620,Ajay Devgn,Bipasha Basu,Shahid Kapoor,Amrita Rao,Javed Sheikh,Sushant Singh,Farha,"14,00,00,000","John M. Matthan,Abbas Tyrewala",John M. Matthan,,"1,21,00,000","5,27,00,000","3,62,00,000",Drama,"9,40,00,000","Sudhakar Sharma,Chandrashekhar Rajit,Manohar Iyer",Viju Shah,"$210,000",John M. Matthan,Cinematt Pictures Pvt. Ltd.,30-Dec-05,156 min,John M. Matthan,350,"John M. Matthan,Dr. Bodhisattva",Shikhar,"10,34,50,000"
1621,Yatin Karyekar,Deepa Parab,Sachal Raaj,Trishna,,"
",,"25,00,000",Sudhin Thakur,Mahesh Kenge,,--,"5,000",--,Drama,"7,250","Sudhakar Sharma,Sani Aslam,Milind Gandhi",Sanjay Gite,$---,Mahesh Kenge,Shree Mataji Films,16-Dec-05,118 min,Mahesh Kenge,2,Sudhin Thakur,Lagan - The Dedication,"7,250"
1622,Rajesh Sabharwal,,,,,"
",,"15,00,000",Malhar Singh,Priyanka,,--,--,--,Adult,"5,75,000",Prashant Kumar,Prashant Kumar,$---,,Aayush Arts,16-Dec-05,99 min,Malhar Singh,1,Malhar Singh,Namkeen,"5,75,000"
1623,Sapna,,,,,"
",,"15,00,000",Bashir Babbar,"Kanti Shah,Bashir Babbar",,--,--,--,Adult,"15,25,000",,Sawan Kumar Sawan,$---,,Pali Films,09-Dec-05,86 min,Bashir Babbar,1,,Kachchi Kali,"15,25,000"
1624,Sapna,Amit Pachori,Vinod Tripathi,,"
",,,"25,00,000",,Kanti Shah,,--,--,--,Horror,"21,00,000",,Sawan Kumar Sawan,$---,Kanti Shah,Pali Films,28-Jan-05,91 min,,1,,Khooni,"21,00,000"
1625,Sapna,,,,"
",,,"20,00,000",Bashir Babbar,Kanti Shah,,--,--,--,Horror,"17,75,000",,Sawan Kumar Sawan,$---,,Pali Films,09-Dec-05,76 min,Bashir Babbar,1,Bashir Babbar,Darinda,"17,75,000"
1626,Hyder Ali,Preeti,Ramesh Goyal,,,"
",,"20,00,000",Prem Durrani,Hridhay Sharma,,--,--,--,Adult,"12,50,000",Prem Durrani,Sunil Singh,$---,Balkrishna Shrivastav,A-One Cine Creation,23-Dec-05,96 min,Prem Durrani,1,Prem Durrani,Chaska - An Addiction,"12,50,000"
1627,Nishi Verma,Sunil Bhumkar,Ritvika De,,,"
",,"10,00,000",Sunil Bhumkar,Nandu Chaudhary,,--,"25,000",--,Devotional,"35,000",Sunil Bhumkar,Anil Hajaria,$---,Sunil Batta,Shri Durga Prasan Films,02-Dec-05,0 min,Sunil Bhumkar,1,Sunil Bhumkar,Shraddha Shakti Jai Ambe Maa,"35,000"
1628,Ajay Sharma,,"
",,,,,"15,00,000",,Chandini Gupta,,--,--,--,Adult,"11,00,000",,,$---,,B.A.V. Arts,13-May-05,0 min,,1,,Bhog Ras,"11,00,000"
1629,Jeetendra,Gaurav Ghai,Aleeza,Ruchita Sahay,Rati Agnihotri,Kiran Kumar,Anil Dhawan,"80,00,000",Basit Khan,Basit Khan,,"75,000","3,00,000","2,25,000",Love Story,"6,50,000",Basit Khan,Uttam Singh,$---,Rajesh Agarwal,Satyam Entertainments,02-Dec-05,140 min,Basit Khan,5,Basit Khan,Ho Jaata Hai Pyar,"6,50,000"
1630,Monalisa,Hyder Kazmi,Usha Bachani,Gaurav Dixit,Milind Gunaji,Vishwajeet Pradhan,Mohan Joshi,"70,00,000","Sanjay Joshi,Rakesh Parmar",Rakesh Parmar,,"7,75,000","33,00,000","23,00,000",Drama,"74,00,000","Khilesh Sharma,Irshad Kamil",Palash Sen,"$1,400","Shanu Kazmi,Hyder Kazmi",S.F. Shanu Films,25-Nov-05,124 min,Hyder Kazmi,40,Sanjay Joshi,Bobby - Love & Lust,"74,64,050"
1631,Mahima Chaudhary,Khalid Siddique,Vivek Madan,Ananya Khare,Chahat Khanna,Vaibhav Jhalani,Mukesh Khanna,"1,50,00,000","Yashwant Chauhan,Anand Dehlvi",Junaid Memon,,"1,25,000","5,25,000","3,75,000",Drama,"8,50,000",Samidha Khalid,"Siddharth - Suhas,Samidha Khalid",$---,"Junaid Memon,Amitabh Bhattacharya",Nomad Films,25-Nov-05,144 min,"Junaid Memon,Yashwant Chauhan",25,"Ramesh Haji,Jatin Raasia,Geetika Tandon",The Film,"8,50,000"
1632,Kiran Janjani,Tara Sharma,Navneet Kaur,Malishka,,Avtar Gill,,"1,25,00,000",Mehmood Ali,Partho Ghosh,,"2,00,000","9,00,000","6,50,000",Drama,"18,00,000",Kamaal R. Khan,Nikhil - Vinay,$---,Kamaal R. Khan,O.K. International,18-Nov-05,115 min,Mehmood Ali,15,"Kamaal R. Khan,Mehmood Ali",Sitam,"18,00,000"
1633,Biswaroop Roy Chowdhary,,,,,,,"15,00,000",,Rana Jaiswal,,--,--,--,Drama,"3,25,000",Manjit Arora,Manjit Arora,$---,Ajit Singh,Minds I Films,18-Nov-05,125 min,Biswaroop Roy Chowdhary,1,,Yaad Rakhenge Aap,"3,25,000"
1634,Zulfi Sayed,Sonya Jehan,Kabir Bedi,Manisha Koirala,Pooja Batra,Arbaaz Ali Khan,Kim Sharma,"10,00,00,000","Akbar Khan,Fatima Meer",Akbar Khan,,"24,00,000","1,09,00,000","76,00,000",Drama,"2,10,00,000","Naqsh Layalpuri,Syed Gulrez",Naushad,"$220,000",Akbar Khan,Mashreq Communications Ltd.,18-Nov-05,164 min,"Akbar Khan,Fatima Meer",135,"Syed Gulrez,Mohafiz Hyder,Rajeev Mirza",Taj Mahal - An Eternal Love Story,"3,10,65,000"
1635,Sapna,Amit Pachori,Neetu,,,,"
","25,00,000",Bashir Babbar,Kanti Shah,,--,--,--,Adult,"36,00,000",,Sawan Kumar Sawan,$---,Kanti Shah,Pali Films,02-Nov-05,106 min,Bashir Babbar,5,Bashir Babbar,Angoor,"36,00,000"
1636,Meghna Naidu,,Shweta Menon,,,,"
","40,00,000",Aditya Om,Aditya Om,,--,--,--,Adult,"22,00,000","Sunil Jogi,Mohinder Pal Singh",Nikhil - Vinay,$---,K.V.V. Satyanarayana,Sri Sowdamini Creations,04-Nov-05,115 min,,3,Mohinder Pal Singh,Bad Friend,"22,00,000"
1637,Kranti Redkar,Bobby Bahal,Gautam Rode,Vidya Mallavde,Sonal Sehgal,Vivek Madan,Kenny Desai,"30,00,000",Jairaj Padmanabhan,Jairaj Padmanabhan,,--,"1,00,000",--,Drama,"1,80,000","Manoj Muntashir,Aseem Arora",Deepak Pandit,$---,Bobby Bahal,Angel Movies Enterprises,21-Oct-05,130 min,Jairaj Padmanabhan,10,Jairaj Padmanabhan,U Bomsi N Me,"1,80,000"
1638,Ravi Kissen,Rajiv Avasthi,Chittaranjan Giri,,,,Upasna Singh,"50,00,000",Dinesh Avasthi,Dinesh Avasthi,,"1,75,000","8,50,000","5,50,000",Comedy,"21,75,000","Vimal Kashyap,Dinesh Avasthi","John T. Hunt,Nishad Vaidya",$---,William Hunt,M.M. Arts Group,28-Oct-05,117 min,Dinesh Avasthi,12,"Siddique Durrani,Saurabh Bharadwaj",Raja Bhai Lagey Raho,"21,75,000"
1639,Ankur Vikal,Salim Ghouse,Heeba Shah,Ram Kapoor,Tinnu Anand,Seema Rahmani,,"25,00,000","Mridul Toolsidass,Vinay Subramanian","Mridul Toolsidass,Vinay Subramanian",,--,"50,000",--,Drama,"87,500",,,$---,Shishir Srivastava,Reelism Films Pvt. Ltd.,14-Oct-05,105 min,,5,,Missed Call,"87,500"
1640,"


",,,,,,,"3,25,00,000",,V.G. Samant,,"25,00,000","1,57,50,000","90,00,000",Animation,"7,68,00,000",Satish Mutatkar,Tapas Relia,"$6,000",,Percept Picture Company,21-Oct-05,89 min,,100,"Milind Ukey,Sulekha Bajpai,Shantanu Rode",Hanuman,"7,68,00,000"
1641,Monalisa,Milind Gunaji,,,,,"
","65,00,000",Sandeep Kumar,Sandeep Kumar,,"5,00,000","23,00,000","15,50,000",Drama,"62,00,000","Taabhish Romani,Sunil Jha",Dilip Sen - Sameer Sen,"$1,200",Ravi Ahlawat,Eye Telefilms Pvt. Ltd.,14-Oct-05,123 min,Sandeep Kumar,25,Lalit Shukla,Ek Hi Bhool,"62,53,400"
1642,Aftab Shivdasani,Anita Hassandani,Himanshu Malik,Dipannita Sharma,Himani Shivpuri,Gautam Kapoor,Sushmita Mukherjee,"4,00,00,000",Dheeraj Sarna,Partho Mitra,,"28,00,000","1,28,00,000","90,00,000",Rom - Com,"2,07,00,000",Sameer,Himesh Reshammiya,"$40,000","Ekta Kapoor,Shobha Kapoor",Balaji Motion Pictures,14-Oct-05,141 min,Mahesh Pandey,125,Ekta Kapoor,Koi Aap Sa,"2,24,80,000"
1643,Samir Kochhar,Tanvi Verma,Dev Gill,Prem Chopra,Shakti Kapoor,Dinesh Hingoo,"
","75,00,000",K.C. Bokadia,K.C. Bokadia,,"6,25,000","28,00,000","19,00,000",Drama,"74,00,000","Maya Govind,Kukku Prabhas",Bappi Lahiri,"$1,500",Sohani Jain,Harsh Productions,07-Oct-05,118 min,K.C. Bokadia,40,K.C. Bokadia,Bold,"74,66,750"
1644,Rajpal Yadav,Rituparna Sengupta,Kay Kay Menon,Vinod Nagpal,Varun Badola,,,"2,50,00,000","Pankaj Saraswat,Ashok Khanna",Chandan Arora,,"30,00,000","1,44,00,000","98,00,000",Comedy,"3,37,00,000","Rocky Khanna,Zaheer Anwar","Rajendra Shiv,Mohit Chauhan",$---,Ronnie Screwvala,UTV Motion Pictures,07-Oct-05,135 min,"Rajpal Yadav,Gunjan Joshi",100,Pankaj Saraswat,Main Meri Patni Aur Woh,"3,37,00,000"
1645,Divvj Kak,Sameer Ali Khan,Rupa Dutta,Anchal Anand,Alok Nath,Tiku Talsania,Razzak Khan,"60,00,000",V.K. Shankar,Faiz Anwar,,"50,000","2,00,000","1,50,000",Drama,"3,50,000",Faiz Anwar,"Nikhil - Vinay,Milind Sagar",$---,,Dreamcraft Productions,07-Oct-05,105 min,V.K. Shankar,5,V.K. Shankar,Saathi - The Companion,"3,50,000"
1646,Annu Agnihotri,,,,,"
",,"5,00,000",,Paras N. Singh,,--,--,--,Adult,"35,000",,,$---,Mukhtar Ahmed,Mittu Kalpana Films,25-Oct-13,0 min,,1,,Main Phir Aaungi,"35,000"
1647,Laala Khan,,,,,,,"15,00,000",Rajesh Taski,Kailash Dangi,,--,--,--,Drama,"3,00,000","Mubarak Patel,Surendra Sendhu","Sanjeev Chorasiya,Swapnil Govind,Mubarak Patel",$---,Kailash Dangi,Ajanta Art Entertainment,25-Oct-13,135 min,Rajesh Taski,2,Rajesh Taski,Titar Fanda - A Death Trap,"3,00,000"
1648,Rohan Jardosh,,,,,,,"50,00,000",Apurv Bajpai,Apurv Bajpai,,--,"2,45,000",--,Thriller,"3,50,000",Raj Patel,Parampara Band,$---,,Nextgen Entertainment,25-Oct-13,95 min,"Apurv Bajpai,Hitesh Patel",85,Apurv Bajpai,Amdavad Junction,"3,50,000"
1649,Darshan Jariwala,,,,,,"
","1,50,00,000",,Ashish Tyagi,,"1,50,000","6,30,000","4,50,000",Drama,"9,00,000","Ibrahim Ashik,Naveen Tyagi,Vikram Chaudhary","Amjad - Nadeem,Sandeep - Surya,Siddhant Madhav",$---,"Radha Tyagi,Rajeshwar Tyagi",Radha Creations,25-Oct-13,96 min,,175,,Dilli Gang,"9,00,000"
1650,Chirag Patil,Sai Tamhankar,Manoj Joshi,Anjan Srivastav,Mukesh Tiwari,Mohan Joshi,Milind Gunaji,"1,50,00,000",Mohammed Salim,Babloo Sheshadri,,"1,50,000","6,55,000","4,75,000",Drama,"9,50,000","Raju Rajasthani,Pravin Kumar",Shankar Sahney,$---,"Vinay Singh,Anjula Singh Mahor,Ashok Kaushik",Kanishka Films,25-Oct-13,128 min,Mohammed Salim,175,Mohammed Salim,Wake Up India,"9,50,000"
1651,Rajeev Khandelwal,Rayo Bakhirta,Neha Ahuja,Ann Mitchai,Siddharth Van,Neha Gehlot,,"3,50,00,000",Arindham Mukherjee,Anish Khanna,,"6,50,000","35,25,000","25,00,000",Love Story,"52,00,000","Kunwar Juneja,Adam Avil - Eddie Avil,Niket Pandey,Sanjay Mishra,Manoj Yadav","Chirantan Bhatt,Shahdaab Bhartiya,Dipanjan Guha,Adam Avil - Eddie Avil",$---,Sunny Sharma,Aris Pioneer Enterprises Company Ltd.,25-Oct-13,106 min,Arindham Mukherjee,350,Arindham Mukherjee,Ishq Actually,"52,00,000"
